MUENCHEN_cloud_cover,MUENCHEN_wind_speed,MUENCHEN_wind_gust,MUENCHEN_humidity,MUENCHEN_pressure,MUENCHEN_global_radiation,MUENCHEN_precipitation,MUENCHEN_sunshine,MUENCHEN_temp_mean,MUENCHEN_temp_min,MUENCHEN_temp_max,MUENCHEN_BBQ_weather
7,2.5,9.2,0.86,1.0157,1.22,0.22,1.0,16.7,15.0,19.0,False
4,1.8,5.6,0.77,1.0192,2.71,0.11,8.9,18.2,13.9,23.9,False
1,1.8,6.4,0.64,1.0152,3.52,0.0,15.0,21.8,13.0,29.5,True
3,2.0,24.7,0.7,1.0103,3.05,3.53,11.4,22.7,15.6,31.6,False
4,3.1,19.2,0.79,1.0111,2.4,0.21,6.9,20.0,14.0,28.8,False
6,2.0,8.0,0.78,1.0214,2.04,0.0,4.8,16.5,13.8,21.0,True
3,2.9,10.1,0.64,1.0188,2.99,0.09,11.0,20.2,14.3,25.6,False
8,2.6,10.2,0.87,1.0152,1.2,1.17,1.0,17.2,14.6,20.4,False
7,1.8,5.9,0.81,1.0182,1.94,0.23,4.3,18.3,13.9,21.6,False
8,3.2,10.5,0.91,1.0144,1.57,0.06,2.5,19.5,16.8,23.4,False
7,2.5,8.5,0.87,1.0089,1.55,0.03,2.4,20.1,17.2,24.4,False
8,3.5,10.0,0.93,1.0102,0.95,2.94,0.3,17.5,14.7,21.8,False
7,4.0,11.3,0.85,1.0159,1.81,0.13,3.7,15.0,12.6,18.7,False
2,1.7,7.9,0.72,1.0174,3.17,0.0,12.7,16.6,10.8,22.3,True
2,1.7,6.5,0.62,1.0166,3.35,0.0,14.2,19.8,12.1,27.1,True
4,3.5,18.8,0.65,1.0135,2.33,0.0,6.8,19.9,15.1,27.2,True
3,3.1,10.6,0.56,1.0179,2.86,0.0,10.5,17.9,14.3,22.0,True
5,1.7,9.5,0.6,1.0151,3.08,0.0,12.2,18.9,12.0,25.1,True
7,3.3,13.5,0.75,1.0134,1.17,0.4,1.0,18.4,14.5,23.4,False
7,2.8,7.9,0.87,1.0161,1.3,0.16,1.5,15.5,13.3,19.2,False
8,2.7,9.6,0.92,1.0195,0.87,0.15,0.2,14.9,13.0,17.7,False
6,1.8,5.6,0.92,1.0209,1.5,0.05,2.4,16.8,14.5,20.1,False
2,2.2,7.2,0.72,1.0183,3.32,0.0,14.5,19.9,12.3,27.4,True
4,1.6,6.4,0.68,1.0157,3.01,0.0,12.1,22.5,15.1,29.1,True
4,2.4,8.5,0.55,1.0101,3.2,0.0,13.7,23.9,17.4,29.9,True
4,2.2,14.5,0.65,1.0071,2.54,1.97,8.7,22.3,17.4,29.2,False
7,2.8,9.5,0.79,1.0103,1.6,1.89,3.0,19.6,14.9,24.0,False
3,2.2,10.2,0.67,1.0153,2.48,0.0,8.4,18.4,14.0,23.8,True
4,2.7,9.4,0.67,1.0133,2.9,0.7,11.6,20.4,15.4,25.9,False
7,1.8,8.4,0.8,1.0129,1.84,4.51,4.4,18.8,15.4,24.8,False
3,1.9,7.5,0.7,1.0136,2.32,0.0,7.5,18.4,14.1,23.8,True
7,2.4,13.4,0.83,1.0118,0.69,0.89,0.0,16.5,14.3,19.4,False
8,3.1,8.9,0.82,1.0144,0.83,0.46,0.2,15.7,13.7,19.2,False
6,1.8,5.0,0.78,1.0132,1.3,0.0,1.8,16.9,13.6,21.0,True
6,1.8,6.8,0.77,1.0068,2.06,0.46,6.0,17.4,12.4,22.7,False
7,2.7,11.0,0.8,1.0023,1.33,0.81,2.0,17.5,13.6,21.9,False
8,4.2,13.0,0.93,1.0025,0.67,2.73,0.0,13.5,12.4,15.6,False
7,6.4,16.7,0.83,1.0083,1.05,0.08,0.9,15.4,13.9,17.8,False
7,4.4,11.6,0.71,1018,1.7,0.0,4.0,16.6,14.2,20.0,True
4,2.2,6.5,0.68,1.02,2.26,0.0,7.7,17.6,13.5,22.6,True
2,1.6,6.5,0.68,1.0178,2.83,0.0,12.2,18.6,12.1,24.6,True
1,1.4,6.3,0.67,1.0174,2.62,0.0,10.6,19.8,14.3,26.2,True
3,2.1,8.3,0.71,1.0156,2.74,0.0,11.7,20.1,14.0,26.5,True
1,1.6,6.0,0.7,1.0138,2.84,0.0,12.6,20.7,14.5,27.0,True
2,1.3,5.2,0.65,1.0153,2.81,0.0,12.5,21.8,15.3,28.6,True
3,1.9,13.4,0.64,1.0143,2.65,0.02,11.3,21.8,15.1,28.7,False
8,2.2,10.7,0.83,1.0161,0.71,1.42,0.1,16.4,13.4,18.9,False
4,1.9,7.3,0.74,1.0161,2.44,0.0,9.8,17.0,12.1,23.0,True
4,1.6,5.5,0.73,1.0162,2.68,0.0,11.9,18.5,12.0,24.8,True
5,1.3,5.3,0.72,1.0177,2.58,0.0,11.2,20.1,14.6,26.1,True
5,2.2,7.8,0.67,1.0182,2.65,0.0,11.9,22.0,17.0,27.5,True
5,2.3,7.9,0.64,1.0138,2.59,0.2,11.5,22.3,16.2,29.0,False
7,2.7,9.6,0.79,1.0138,0.8,0.04,0.4,18.6,16.7,20.2,False
4,1.7,5.2,0.73,1.0138,1.85,0.0,5.9,18.9,15.0,24.1,True
2,1.6,7.1,0.76,1.0153,1.93,0.0,6.6,19.2,14.4,25.7,True
1,1.8,5.4,0.75,1018,2.42,0.0,10.6,19.7,15.4,25.9,True
3,1.8,8.1,0.73,1.0168,2.06,0.0,7.8,20.1,14.7,26.4,True
8,3.7,10.0,0.85,1022,0.63,0.07,0.0,15.9,13.1,18.3,False
7,4.0,11.1,0.75,1.0244,1.19,0.0,1.9,15.7,13.1,20.9,True
5,1.6,5.9,0.77,1.0181,1.2,0.22,2.0,14.2,10.6,19.2,False
4,1.9,8.1,0.68,1.0143,2.24,0.67,9.8,18.0,11.6,24.7,False
4,2.0,6.4,0.76,1.0154,1.99,0.0,7.7,16.5,12.7,21.4,True
4,1.4,6.5,0.73,1.0168,1.97,0.0,7.7,16.5,12.2,22.8,True
2,2.1,8.4,0.66,1.0144,2.37,0.0,11.5,17.7,11.5,23.7,True
2,1.7,6.7,0.68,1.0126,2.38,0.0,11.8,19.1,14.7,25.4,True
3,2.3,11.9,0.62,1.0116,2.34,1.83,11.6,20.0,13.4,27.8,False
7,3.0,9.1,0.9,1.0192,0.7,0.39,0.2,14.0,11.4,16.7,False
4,2.2,7.7,0.8,1.0225,1.67,0.0,5.8,13.8,11.5,18.9,True
3,3.4,11.0,0.68,1.0214,1.86,0.0,7.5,14.8,10.4,19.7,True
1,2.9,9.6,0.6,1.0217,2.3,0.0,12.0,12.0,6.7,17.8,False
1,1.7,6.5,0.64,1.0193,2.23,0.16,11.5,13.2,6.3,19.4,False
5,2.6,7.6,0.67,1.0179,1.62,0.0,5.8,13.2,9.5,17.2,False
7,1.7,5.4,0.68,1.0182,1.85,0.0,8.0,11.6,7.8,16.5,False
2,1.3,5.3,0.66,1.0174,2.17,0.0,11.4,11.7,5.7,18.5,True
2,1.4,6.3,0.65,1.0156,2.18,0.0,11.7,14.4,5.9,22.1,True
7,2.0,10.3,0.85,1.0154,0.64,0.45,0.2,14.8,10.2,19.6,False
7,2.6,10.4,0.9,1.0164,0.7,0.46,0.4,15.8,13.8,18.8,False
7,1.6,6.4,0.82,1.0146,0.77,0.17,0.7,14.1,11.3,17.3,False
7,1.9,8.1,0.76,1.0087,1.3,0.61,4.0,11.9,8.9,16.3,False
8,2.2,8.7,0.89,1.0077,0.68,2.38,0.4,9.1,8.0,10.9,False
8,3.9,10.9,0.93,1.0124,0.5,3.59,0.0,5.1,0.6,8.9,False
8,3.1,8.1,0.89,1.0173,0.49,0.23,0.0,3.3,1.1,5.0,False
8,4.1,11.4,0.9,1.0182,0.48,0.56,0.0,6.6,4.7,8.2,False
8,3.1,11.2,0.93,1.0217,0.48,0.9,0.0,8.3,4.6,10.2,False
2,1.4,5.3,0.76,1.0286,1.81,0.0,9.8,6.8,1.8,13.1,False
0,2.1,9.5,0.7,1.0306,1.93,0.0,11.4,7.1,0.6,14.0,False
1,1.8,5.7,0.73,1.0286,1.91,0.0,11.4,8.0,1.4,16.1,False
1,1.2,4.1,0.71,1.0257,1.87,0.0,11.2,9.6,2.3,18.2,True
7,1.3,3.9,0.75,1.0245,1.77,0.0,10.2,10.4,3.3,18.1,True
6,2.6,9.9,0.72,1.0236,1.12,0.21,3.7,13.2,7.3,18.4,False
8,2.4,9.7,0.89,1.0241,0.44,0.6,0.0,11.7,8.0,14.4,False
7,2.8,8.0,0.82,1.0235,0.98,0.79,2.8,10.0,6.9,13.5,False
8,4.8,12.3,0.88,1.0124,0.62,0.68,0.6,9.3,7.7,10.8,False
5,1.8,7.2,0.76,1.0178,1.03,0.0,3.4,7.0,3.8,10.2,False
2,2.3,7.3,0.75,1015,1.53,0.0,8.7,7.0,2.5,12.7,False
2,3.3,9.0,0.77,1.0118,1.4,0.0,7.4,7.1,3.0,13.5,False
8,4.0,10.2,0.86,1.0094,0.4,0.06,0.0,7.2,5.1,9.0,False
8,2.4,6.4,0.94,1.0109,0.4,0.11,0.0,7.6,6.8,8.5,False
8,1.5,5.1,0.94,1.0122,0.39,0.64,0.0,7.0,6.0,8.0,False
6,2.1,9.0,0.81,1.0136,1.04,0.09,4.2,8.6,4.5,13.3,False
8,2.3,6.6,0.91,1.0143,0.38,1.22,0.0,9.5,4.8,11.2,False
8,1.7,6.1,0.86,1014,0.49,0.06,0.3,11.6,8.0,14.8,False
5,2.1,9.7,0.73,1.0065,1.38,0.17,8.5,16.4,12.6,22.3,False
8,2.8,9.4,0.86,1.0046,0.36,1.82,0.0,11.1,7.4,14.3,False
7,5.4,15.3,0.7,1.0113,0.77,0.2,2.2,8.0,5.7,11.3,False
5,4.4,15.7,0.78,1019,0.68,0.33,1.6,6.2,4.1,8.4,False
7,1.8,5.9,0.75,1.02,0.78,0.0,2.5,6.3,2.4,9.2,False
6,1.8,5.8,0.79,1.0079,0.47,0.12,0.4,9.7,4.5,13.8,False
5,3.4,11.0,0.64,1.0003,1.03,0.0,5.3,13.9,9.4,19.3,True
7,4.7,16.9,0.66,1.0045,0.84,0.19,3.4,12.0,7.1,17.9,False
6,3.4,12.7,0.61,1.0156,1.02,0.09,5.5,8.8,6.5,12.6,False
8,2.8,20.4,0.74,1.0104,0.4,0.53,0.2,10.7,6.6,15.2,False
2,8.6,23.7,0.48,1.0161,1.25,0.0,9.0,13.6,9.3,15.9,False
6,6.5,30.3,0.5,1.0159,0.65,0.0,1.9,13.1,7.9,21.2,True
1,6.5,22.5,0.53,1.0291,1.17,0.0,8.2,8.8,5.0,11.7,False
6,2.3,6.4,0.6,1.0245,0.79,0.0,3.5,8.1,4.7,12.3,False
8,2.9,11.8,0.64,1.0157,0.34,0.01,0.1,12.0,6.6,15.9,False
8,1.7,6.2,0.91,1.0187,0.29,0.97,0.0,10.4,9.5,11.2,False
7,1.6,10.4,0.85,1.0202,0.67,0.31,2.5,12.5,10.9,15.7,False
8,4.0,13.8,0.87,1016,0.28,0.89,0.0,10.7,9.8,11.5,False
7,3.3,16.4,0.88,1.0106,0.28,2.69,0.0,10.3,8.2,13.5,False
8,3.9,12.8,0.87,1.0149,0.35,0.8,0.2,6.9,5.2,8.6,False
8,2.3,7.0,0.83,1.0244,0.32,0.0,0.1,3.7,0.9,6.1,False
5,2.0,7.3,0.8,1.0244,0.48,0.0,1.1,2.1,0.5,4.4,False
8,3.0,11.9,0.86,1.0128,0.26,0.46,0.0,2.7,1.2,4.3,False
5,4.2,10.2,0.78,1.0177,0.61,0.06,2.5,3.7,1.1,6.4,False
8,6.2,21.4,0.76,1.0039,0.3,0.44,0.1,5.9,1.1,9.4,False
7,2.4,8.6,0.79,1.0128,0.57,0.75,2.2,4.8,2.4,7.3,False
7,6.2,19.2,0.83,1.0077,0.29,0.66,0.1,9.5,5.6,13.7,False
2,2.5,7.0,0.71,1.0151,1.01,0.0,9.0,8.5,5.8,13.2,False
6,2.0,6.0,0.7,1.0064,0.66,0.0,3.6,7.2,3.9,12.7,False
7,2.6,16.4,0.76,0.9966,0.39,0.0,0.8,7.2,2.8,14.3,False
6,1.9,6.8,0.81,997,0.49,0.0,1.7,7.7,4.6,11.3,False
7,2.2,16.1,0.84,0.9976,0.42,0.34,1.1,8.6,4.1,14.2,False
5,1.9,9.4,0.72,1.0135,0.64,0.0,3.8,8.8,3.9,13.8,False
8,1.1,4.1,0.93,1.0149,0.23,0.84,0.0,5.2,2.9,7.2,False
8,3.6,11.0,0.94,1011,0.22,1.19,0.0,5.7,4.9,6.0,False
3,1.9,5.8,0.87,1015,0.56,0.0,2.9,6.1,2.8,10.3,False
5,2.0,5.5,0.74,1.0029,0.78,0.0,6.5,7.3,1.2,14.7,False
8,4.1,13.5,0.9,1.0036,0.21,1.06,0.0,5.2,3.2,7.4,False
3,2.6,7.0,0.69,1.0118,0.85,0.0,8.0,7.6,4.8,13.4,False
4,1.5,5.1,0.8,1.0113,0.31,0.0,0.5,5.2,3.8,7.6,False
6,1.7,8.9,0.77,1.0068,0.35,0.0,0.8,7.8,3.4,15.5,False
6,1.9,6.0,0.89,1.0146,0.21,0.03,0.0,7.0,5.5,8.5,False
8,1.9,5.4,0.91,1.0182,0.2,0.09,0.0,7.5,6.6,8.6,False
8,1.5,4.7,0.92,1.0173,0.2,0.0,0.0,6.5,4.9,7.7,False
8,2.5,7.7,0.94,1016,0.2,1.31,0.0,5.8,4.8,6.9,False
7,3.4,9.1,0.88,1.02,0.2,0.04,0.0,5.9,5.2,7.5,False
4,2.2,6.3,0.79,1.0166,0.65,0.22,5.3,5.3,1.4,9.5,False
8,2.0,7.6,0.85,1008,0.21,0.3,0.0,3.9,1.1,5.8,False
8,1.6,5.7,0.89,1.0111,0.2,0.22,0.0,2.8,1.7,3.3,False
8,1.3,3.6,0.85,1.0166,0.2,0.15,0.0,3.0,2.1,3.7,False
8,1.8,5.9,0.94,1.0166,0.2,0.43,0.0,3.2,2.1,4.4,False
8,3.6,9.6,0.91,1.0212,0.2,0.01,0.0,2.7,1.0,4.0,False
8,4.2,10.7,0.89,1.0213,0.2,0.0,0.0,0.8,-0.4,1.4,False
6,4.2,10.9,0.7,1.0237,0.47,0.0,2.6,-0.9,-3.9,1.4,False
6,4.2,10.6,0.69,1025,0.5,0.0,3.2,-4.7,-7.0,-2.0,False
4,2.8,7.1,0.73,1.0265,0.49,0.0,3.0,-5.6,-7.2,-1.5,False
8,3.3,8.1,0.81,1.0269,0.19,0.0,0.0,-7.1,-8.0,-6.3,False
5,2.0,5.4,0.79,1.0258,0.51,0.0,3.4,-4.4,-6.4,-1.6,False
8,1.1,3.4,0.89,1.0278,0.19,0.0,0.0,-2.7,-6.9,0.9,False
7,2.4,6.6,0.93,1.0241,0.49,0.0,3.1,-2.2,-3.7,-0.2,False
8,2.0,5.5,0.92,1.0204,0.19,0.28,0.0,-0.9,-2.7,4.7,False
6,3.0,10.1,0.81,1.0181,0.35,1.36,1.2,5.5,3.6,9.0,False
7,2.5,8.0,0.87,1.0194,0.38,0.03,1.6,4.0,2.4,5.9,False
8,2.5,6.1,0.91,1.0283,0.19,0.0,0.0,0.4,-1.0,2.4,False
4,2.4,7.8,0.8,1.0318,0.55,0.0,4.4,-1.2,-3.3,2.0,False
7,1.6,6.6,0.8,1.0244,0.52,0.38,3.8,1.7,-1.7,5.5,False
8,3.8,10.5,0.91,1.0196,0.19,0.7,0.0,6.4,3.4,7.7,False
7,3.4,18.1,0.91,1.0149,0.19,2.04,0.0,7.9,6.1,10.6,False
8,3.5,15.4,0.84,1.0148,0.24,0.04,0.2,8.6,5.6,10.9,False
8,1.4,4.8,0.92,1.0172,0.22,0.0,0.1,5.1,2.6,6.8,False
8,1.9,5.4,0.95,1.0206,0.19,0.0,0.0,1.7,0.5,2.6,False
8,2.0,6.4,0.93,1.0162,0.19,0.12,0.0,3.3,1.1,7.6,False
5,1.8,5.4,0.81,1.0054,0.19,0.0,0.0,4.7,1.2,7.8,False
8,2.3,7.4,0.9,1.0026,0.26,1.08,0.3,4.1,0.4,7.3,False
8,5.2,19.0,0.83,1.0102,0.37,0.95,1.4,6.4,4.2,10.7,False
6,8.7,23.6,0.63,1.0042,0.4,0.01,1.7,11.6,10.4,13.5,False
7,3.4,12.3,0.8,1.0079,0.19,0.98,0.0,7.3,1.0,10.7,False
6,2.4,9.9,0.82,1.0108,0.48,0.22,2.8,5.0,0.9,10.0,False
7,8.3,30.9,0.65,0.9967,0.2,0.67,0.0,11.6,8.7,13.9,False
3,7.8,25.8,0.58,1.0011,0.57,0.42,4.3,8.6,6.8,10.6,False
7,3.9,16.0,0.83,1.0018,0.39,1.21,1.5,5.5,2.0,7.4,False
8,2.5,11.5,0.83,1.0104,0.2,0.12,0.0,-2.7,-4.5,2.0,False
8,2.4,6.1,0.77,1.0124,0.2,0.0,0.0,-4.2,-6.0,-2.9,False
8,2.3,6.4,0.8,1.0155,0.2,0.17,0.0,-5.9,-7.5,-4.1,False
3,3.1,8.2,0.76,1.0156,0.6,0.0,4.4,-8.1,-10.3,-5.6,False
7,2.6,7.6,0.75,1.0169,0.21,0.0,0.0,-10.6,-11.6,-9.9,False
7,1.7,5.2,0.77,1.0227,0.21,0.0,0.0,-8.9,-10.4,-6.8,False
4,2.9,9.8,0.8,1.0321,0.35,0.0,0.8,-8.4,-10.9,-5.6,False
1,1.6,4.8,0.77,1036,0.78,0.0,7.7,-9.8,-13.1,-4.4,False
8,4.5,15.5,0.82,1.0332,0.22,0.89,0.0,-5.6,-12.6,1.0,False
7,4.7,11.3,0.87,1.0344,0.34,0.07,0.6,2.6,0.8,4.5,False
4,2.0,6.9,0.83,1.0313,0.55,0.0,3.1,1.9,-0.7,5.1,False
8,2.7,8.5,0.76,1.0304,0.32,0.0,0.4,2.5,-1.1,4.5,False
6,1.9,6.2,0.87,1.0265,0.77,0.0,6.6,0.0,-3.3,4.4,False
4,1.4,6.0,0.79,1022,0.51,0.0,2.3,0.0,-4.0,5.3,False
2,2.1,7.4,0.69,1.0148,0.87,0.0,8.4,1.1,-4.0,7.0,False
4,2.0,5.3,0.69,1.0111,0.85,0.0,7.8,4.7,-1.2,9.7,False
5,1.5,4.4,0.81,1.0,0.51,0.09,2.1,-0.9,-3.0,1.5,False
7,3.0,11.2,0.77,1.0024,0.64,0.18,3.8,4.5,-0.3,8.8,False
7,4.4,10.6,0.82,1.0165,0.24,0.34,0.0,3.2,1.7,4.5,False
8,3.0,7.5,0.93,1.0335,0.25,0.05,0.0,1.5,0.2,3.0,False
8,1.9,7.2,0.85,1.0355,0.25,0.0,0.0,0.7,0.0,1.6,False
8,2.8,7.6,0.84,1.0324,0.26,0.1,0.0,0.6,-0.3,1.5,False
8,5.0,12.7,0.91,1.0284,0.26,0.72,0.0,3.0,0.3,6.6,False
7,6.9,27.6,0.76,1.0166,0.43,0.26,0.8,5.0,1.4,9.1,False
8,5.9,18.0,0.76,1.0026,0.39,0.33,0.5,1.2,-0.1,2.8,False
5,3.6,9.6,0.84,1.0011,0.36,0.15,0.3,-0.5,-1.8,0.8,False
8,3.5,9.8,0.78,1.0119,0.35,0.12,0.2,-3.7,-6.4,-1.8,False
4,2.3,6.4,0.72,1.0243,0.95,0.02,7.2,-6.0,-8.2,-1.8,False
7,3.2,10.9,0.73,1.0167,0.36,0.05,0.2,-2.4,-8.4,1.7,False
7,5.0,16.5,0.73,1.0009,0.33,1.29,0.1,3.2,0.5,5.9,False
8,2.5,9.7,0.84,0.9956,0.29,0.07,0.0,0.1,-1.9,1.2,False
7,4.8,9.7,0.84,1.0032,0.41,0.36,0.4,-1.6,-3.4,-0.1,False
8,3.9,9.7,0.83,1.0185,0.35,0.21,0.1,-2.3,-4.2,-0.6,False
6,3.3,9.4,0.74,1027,0.86,0.36,4.7,-2.3,-4.9,0.7,False
8,2.7,6.7,0.93,1.0257,0.31,1.05,0.0,-0.3,-1.9,0.8,False
7,2.1,5.7,0.88,1.0245,0.31,0.0,0.0,-2.5,-4.4,0.1,False
8,1.6,3.8,0.87,1.0267,0.32,0.0,0.0,-4.5,-6.1,-3.4,False
8,2.2,5.8,0.87,1.0305,0.32,0.0,0.0,-5.2,-6.1,-4.7,False
5,2.8,7.1,0.74,1.0301,0.33,0.0,0.0,-5.4,-7.4,-3.6,False
6,2.2,7.5,0.78,1.0273,0.75,0.0,2.6,-6.7,-9.2,-3.8,False
6,1.4,4.3,0.8,1.0285,0.34,0.0,0.0,-7.7,-11.1,-5.2,False
4,1.7,5.4,0.75,1.0322,1.1,0.0,6.7,-7.4,-12.2,-2.2,False
8,3.9,12.4,0.76,1.0323,0.46,0.0,0.3,-4.1,-5.6,-2.2,False
3,3.7,9.6,0.7,1.0333,1.06,0.0,5.7,-4.7,-7.5,-0.7,False
2,2.8,8.1,0.66,1029,1.31,0.0,9.0,-6.3,-10.3,-1.3,False
1,3.2,8.1,0.73,1.0232,1.25,0.0,7.9,-5.7,-10.3,-0.4,False
1,2.0,5.0,0.72,1.0184,1.39,0.0,9.7,-3.4,-9.3,3.0,False
5,1.8,5.6,0.84,1.0248,0.86,0.0,2.9,-3.3,-6.2,1.6,False
5,1.4,4.6,0.86,1.0305,0.93,0.0,3.5,-4.0,-6.9,1.3,False
3,1.3,3.5,0.82,1.0346,1.22,0.0,6.7,-3.5,-8.4,3.6,False
3,1.6,4.9,0.74,1.0326,1.46,0.0,9.8,-1.9,-7.2,5.3,False
0,1.5,4.6,0.66,1.0255,1.52,0.0,10.3,-0.7,-7.4,6.9,False
1,1.4,5.0,0.63,1.0196,1.54,0.0,10.3,1.4,-6.0,10.3,False
0,1.4,5.1,0.58,1.0192,1.56,0.0,10.4,3.2,-4.2,11.5,False
1,2.2,5.3,0.5,1026,1.55,0.0,10.0,6.2,1.4,12.7,False
6,2.0,7.5,0.62,1.0229,0.68,0.04,1.1,6.6,1.8,10.9,False
7,2.5,14.2,0.77,1.0159,0.93,0.42,2.7,5.9,1.9,12.5,False
8,3.6,10.0,0.77,1.0201,0.48,0.0,0.1,4.1,2.9,5.3,False
2,1.8,5.7,0.77,1.0251,1.73,0.0,10.2,3.9,-0.6,9.1,False
4,1.7,5.3,0.62,1022,1.41,0.0,6.7,5.8,-0.6,13.7,False
6,2.7,12.1,0.84,1.0176,0.54,0.79,0.2,2.8,-1.0,5.5,False
7,2.6,9.6,0.85,1.0241,0.72,0.02,1.0,4.0,1.2,7.2,False
3,3.0,9.8,0.74,1.0251,0.98,0.0,2.6,4.3,-0.1,8.5,False
7,3.7,11.8,0.55,1.0251,0.84,0.0,1.6,7.7,2.4,12.5,False
3,3.2,9.5,0.34,1.0259,1.93,0.0,11.1,12.0,5.8,18.4,True
7,3.9,15.1,0.33,1.0214,1.07,0.0,3.0,13.6,8.5,19.0,True
7,4.9,14.3,0.64,1.0216,0.64,0.77,0.4,8.7,3.2,15.2,False
5,3.3,10.7,0.7,1.0314,0.75,0.0,0.9,3.6,-0.5,6.2,False
5,2.6,8.5,0.6,1.0329,0.96,0.01,2.0,0.8,-1.4,4.2,False
7,3.8,9.8,0.69,1.0386,0.95,0.0,1.9,0.9,-1.1,3.2,False
4,2.3,8.1,0.59,1.0411,1.76,0.0,8.2,2.6,-1.4,7.4,False
5,1.5,5.9,0.58,1.0334,1.77,0.0,8.2,3.4,-2.5,9.2,False
1,2.1,6.8,0.65,1.0315,2.03,0.0,10.5,3.4,-1.9,10.0,False
1,2.0,6.8,0.58,1028,2.1,0.0,11.0,5.5,-1.2,12.1,False
1,3.0,10.1,0.53,1025,2.14,0.0,11.2,6.5,1.2,13.1,False
3,3.2,10.8,0.64,1.0258,2.01,0.0,9.7,3.3,-1.1,8.6,False
0,4.2,10.4,0.36,1.0277,2.24,0.0,11.8,2.2,-3.5,8.8,False
0,2.4,7.3,0.36,1.0289,2.27,0.0,11.9,4.7,-2.8,13.7,False
0,2.3,7.8,0.42,1028,2.26,0.0,11.6,9.0,-0.2,17.8,False
1,2.1,9.2,0.41,1023,2.22,0.0,11.0,11.4,4.2,18.6,True
0,2.0,8.5,0.51,1.0187,2.17,0.0,10.4,10.8,3.6,17.9,False
5,1.9,7.5,0.5,1.0173,2.02,0.0,8.8,11.8,4.1,19.3,True
3,1.4,5.1,0.44,1.0143,2.19,0.0,10.2,13.4,4.5,20.6,True
6,1.6,4.2,0.56,1.0133,1.39,0.03,3.7,13.9,11.2,18.4,False
7,2.0,10.7,0.58,1.0134,1.86,0.13,7.1,13.8,9.4,19.4,False
5,2.8,8.7,0.56,1.0197,1.92,0.01,7.4,10.0,5.4,13.8,False
2,3.4,14.6,0.47,1.0171,2.42,0.25,11.6,10.8,2.4,18.6,False
8,5.4,21.3,0.76,1.0059,0.73,0.42,0.2,5.8,2.2,13.2,False
7,3.1,9.0,0.71,1.0164,0.7,0.0,0.1,3.5,1.4,5.7,False
6,2.2,6.9,0.69,1026,1.25,0.01,2.4,3.7,1.4,7.7,False
8,5.5,15.3,0.64,1.0212,0.71,0.0,0.1,4.8,0.9,7.5,False
6,4.2,16.2,0.56,1.0209,1.73,0.0,5.3,1.1,-2.8,4.4,False
6,3.3,9.7,0.56,1.0234,1.42,0.0,3.2,-1.9,-4.4,1.0,False
3,2.1,8.7,0.46,1022,2.56,0.0,11.7,0.5,-4.8,6.0,False
5,2.2,7.6,0.46,1013,2.04,0.09,7.3,2.3,-1.8,7.1,False
7,3.0,15.7,0.73,1.0038,1.04,0.34,1.1,4.3,0.6,8.8,False
3,2.9,7.9,0.56,1.0126,2.36,0.0,9.6,4.2,0.1,9.6,False
7,2.0,7.7,0.59,1.0164,1.37,0.0,2.6,7.1,2.1,12.3,False
4,2.7,9.0,0.58,1.0219,2.37,0.0,9.4,10.8,6.7,16.4,False
0,3.9,11.2,0.49,1.0188,2.78,0.0,12.7,11.6,3.9,18.6,True
0,4.1,13.2,0.49,1.0209,2.82,0.0,12.9,13.3,6.2,19.7,True
2,4.2,12.2,0.44,1022,2.8,0.0,12.6,14.1,6.9,20.4,True
1,4.1,11.5,0.37,1025,2.83,0.0,12.7,12.6,6.7,18.8,True
3,3.0,11.6,0.44,1022,2.52,0.0,10.0,9.8,4.0,16.2,False
7,2.9,7.7,0.71,1.0146,0.73,0.04,0.0,5.5,3.2,7.4,False
6,2.9,12.8,0.48,1.0096,2.63,0.0,10.7,13.0,3.0,21.0,True
5,2.5,10.5,0.55,1.0124,2.09,0.02,6.5,11.5,4.9,18.4,False
6,2.7,8.9,0.71,1.0142,2.24,1.17,7.5,11.5,7.3,18.3,False
3,2.7,9.0,0.59,1.0132,2.71,0.0,11.0,12.4,6.3,18.7,True
2,1.7,5.9,0.49,1.0174,2.91,0.0,12.5,12.6,5.0,19.1,True
4,2.3,8.7,0.44,1.0167,2.66,0.0,10.4,14.9,7.1,21.4,True
7,3.0,13.5,0.53,1.0109,2.11,0.11,6.3,16.4,9.9,25.0,False
6,5.2,16.9,0.52,1.0144,1.6,0.0,3.1,13.1,11.3,16.0,False
5,2.4,9.2,0.39,1.0104,2.44,0.0,8.4,17.2,10.3,24.3,True
6,3.6,12.9,0.48,1.0133,2.1,0.0,6.0,17.4,13.7,21.9,True
8,3.5,16.3,0.62,1.0122,1.9,0.07,4.7,16.9,11.2,24.6,False
5,3.0,11.1,0.5,1.0211,2.51,0.0,8.2,14.6,10.4,20.2,True
3,1.8,6.9,0.52,1.0154,2.63,0.32,9.0,16.1,7.8,22.9,False
4,4.3,14.5,0.57,1.0229,2.49,0.0,7.9,12.8,9.1,17.8,False
3,2.7,8.1,0.43,1.0209,3.17,0.0,13.4,16.0,5.9,25.2,True
1,2.6,9.1,0.45,1.0131,3.11,0.0,12.8,21.4,9.4,31.8,True
5,2.7,8.5,0.34,1.0135,2.78,0.0,9.9,23.9,18.1,30.3,True
