,MUENCHEN_cloud_cover,MUENCHEN_wind_speed,MUENCHEN_wind_gust,MUENCHEN_humidity,MUENCHEN_pressure,MUENCHEN_global_radiation,MUENCHEN_precipitation,MUENCHEN_sunshine,MUENCHEN_temp_mean,MUENCHEN_temp_min,MUENCHEN_temp_max,MUENCHEN_BBQ_weather
400,6,4.1,12.8,0.89,1.0081,0.42,0.29,0.5,7.0,3.3,10.7,0
402,5,2.8,10.0,0.55,1.0113,0.91,0.0,5.6,10.4,8.0,16.7,0
403,5,2.1,6.1,0.52,1.0094,0.98,0.0,6.5,10.9,4.4,18.3,1
404,7,2.3,12.9,0.48,1.0039,0.39,0.15,0.2,9.8,6.0,12.9,0
405,8,3.6,10.0,0.96,1.0153,0.31,0.5,0.0,5.0,3.5,12.5,0
406,5,1.8,5.1,0.9,1.0334,0.56,0.0,1.2,3.8,2.7,6.3,0
407,3,1.4,5.3,0.72,1.0396,1.16,0.0,8.5,5.0,-1.4,11.9,0
408,6,1.4,5.3,0.47,1.0308,1.08,0.0,7.0,8.9,0.6,14.4,0
409,8,2.5,8.7,0.88,1.0266,0.33,0.35,0.0,4.8,3.8,9.9,0
410,1,3.2,8.4,0.84,1.0318,1.14,0.0,7.4,3.0,0.2,7.3,0
411,1,2.2,7.4,0.77,1.0314,1.3,0.0,9.7,3.8,-0.9,10.1,0
413,8,2.4,8.3,0.94,1.0314,0.36,0.0,0.0,3.5,2.8,5.2,0
414,5,2.8,8.8,0.88,1.0357,0.89,0.0,3.6,2.3,0.8,5.2,0
415,7,3.0,9.6,0.76,1.0345,0.93,0.18,3.9,2.7,-0.2,4.6,0
416,8,4.7,14.4,0.88,1.0303,0.37,0.04,0.0,1.8,0.9,3.1,0
420,7,1.4,4.6,0.84,1.0078,0.46,0.02,0.1,-1.2,-2.6,0.3,0
421,5,2.0,6.4,0.88,1.0115,0.55,0.13,0.4,-3.4,-4.8,-1.1,0
423,2,3.4,8.4,0.57,1.0033,1.53,0.0,10.0,-0.1,-4.8,5.0,0
424,5,2.4,6.1,0.71,0.9964,0.92,0.0,2.7,-0.2,-2.7,4.5,0
425,6,3.7,12.5,0.73,0.9986,1.27,0.24,5.9,1.7,-1.6,5.7,0
426,6,3.2,10.8,0.69,1.0002,1.47,0.13,7.8,2.7,-1.0,6.7,0
429,7,3.2,9.5,0.89,1.0163,0.58,0.0,0.4,3.4,0.7,6.1,0
430,4,2.9,7.9,0.81,1.0227,1.28,0.0,5.3,3.0,-0.7,8.1,0
431,7,1.6,4.9,0.84,1.0166,0.77,0.0,1.3,5.6,-1.1,8.8,0
433,7,3.3,8.2,0.86,1.0086,0.47,0.14,0.0,8.2,6.5,9.6,0
434,7,2.8,9.8,0.9,1.0097,0.95,0.22,2.2,8.3,5.8,13.6,0
435,7,4.6,13.6,0.86,1.0125,0.86,0.53,1.6,10.3,8.4,14.2,0
437,7,4.9,9.7,0.69,1.0073,1.18,0.2,3.6,7.6,5.2,9.6,0
440,1,2.0,6.8,0.75,1.0102,2.01,0.0,10.7,11.9,7.2,18.5,1
441,8,2.5,8.5,0.88,1.0019,0.75,0.43,0.7,9.4,8.2,12.0,0
442,6,4.1,13.6,0.63,1.0051,1.54,0.15,6.0,10.2,6.7,13.2,0
448,7,2.1,8.0,0.85,1.0026,1.01,0.31,1.7,13.3,9.8,17.2,0
449,8,3.7,14.2,0.87,0.9981,0.77,0.32,0.5,9.8,9.3,13.3,0
450,7,4.4,13.9,0.85,1.0085,0.58,0.0,0.0,2.6,0.0,9.7,0
451,7,2.3,5.8,0.89,1.0144,0.65,0.0,0.1,2.6,1.0,5.1,0
452,5,2.6,9.9,0.81,1.0113,1.64,0.0,5.6,6.4,0.0,12.1,0
453,7,3.2,9.7,0.78,1.0039,1.58,0.69,5.0,7.8,3.6,13.2,0
454,7,2.7,8.5,0.89,1.0135,0.8,0.05,0.5,6.6,4.5,9.2,0
455,3,1.8,5.7,0.76,1.0256,2.04,0.0,8.4,7.6,3.0,13.1,0
456,1,1.7,6.1,0.65,1.0262,2.49,0.0,12.3,9.7,2.4,16.6,0
457,5,1.7,5.4,0.62,1.02,2.45,0.0,11.7,11.5,3.5,18.8,1
458,4,3.3,12.4,0.57,1.0177,2.0,0.0,7.7,13.3,8.7,18.4,1
460,4,4.4,15.0,0.59,1.0183,1.89,0.0,6.6,7.0,3.3,10.6,0
461,7,4.3,15.0,0.64,1.0134,1.18,0.61,1.9,9.9,5.9,13.8,0
463,7,2.6,10.0,0.85,1.0174,1.41,0.32,3.1,6.6,3.9,10.4,0
465,8,3.7,12.5,0.89,1.0138,1.02,0.28,1.0,8.0,5.9,11.6,0
466,8,3.1,7.5,0.91,1.0169,0.98,0.05,0.8,7.3,5.6,10.2,0
467,7,3.9,10.8,0.74,1.0226,1.08,0.0,1.2,7.0,4.4,9.8,0
468,5,4.2,12.6,0.58,1.0248,1.79,0.0,5.1,2.1,-1.2,4.9,0
469,6,2.7,8.7,0.63,1.0252,1.74,0.06,4.7,0.9,-2.3,5.0,0
471,7,3.8,13.0,0.89,1.0126,1.48,0.1,3.0,5.1,2.8,9.6,0
472,7,3.1,9.1,0.83,1.0164,1.15,0.04,1.3,4.5,2.8,7.4,0
473,6,4.1,13.9,0.72,1.0078,1.58,0.14,3.5,6.4,2.7,10.5,0
477,8,2.8,8.0,0.96,1.0062,0.75,0.06,0.0,1.8,0.4,3.5,0
478,1,2.0,6.5,0.75,1.0047,2.6,0.0,10.1,6.4,-0.4,12.0,0
479,2,2.4,10.2,0.56,1.0125,2.84,0.0,11.9,11.5,4.3,18.5,1
480,6,3.2,19.6,0.62,1.0125,2.13,0.03,6.5,12.1,7.9,21.7,0
481,4,4.2,14.2,0.62,1.0204,2.11,0.03,6.3,9.7,7.4,13.6,0
482,5,1.9,7.3,0.51,1.0175,2.4,0.31,8.2,11.4,4.2,16.3,0
483,7,3.5,13.8,0.74,1.0147,1.66,0.04,3.4,11.9,8.4,15.6,0
484,4,2.0,8.0,0.64,1.0107,2.33,0.0,7.6,15.1,9.5,20.4,1
485,2,3.0,11.6,0.45,1.0083,2.88,0.0,11.6,18.1,9.0,26.3,1
487,2,2.7,9.9,0.55,1.0124,3.17,0.0,13.7,20.0,11.6,26.9,1
488,4,2.4,13.2,0.48,1.0044,2.59,0.34,8.6,19.1,14.6,27.0,0
491,8,2.3,6.1,0.98,1.0134,0.82,0.08,0.0,8.6,7.8,9.5,0
492,8,2.2,6.1,0.95,1.0186,0.82,0.0,0.0,10.3,8.2,13.0,0
494,4,3.6,12.8,0.76,1.0192,2.67,0.0,8.8,14.5,8.3,20.7,1
495,1,3.7,11.5,0.58,1.0171,3.25,0.0,13.5,15.5,9.7,21.4,1
496,3,2.2,8.8,0.59,1.0174,2.8,0.0,9.6,15.4,7.8,21.4,1
497,1,2.7,8.9,0.55,1.0177,3.37,0.0,14.4,15.7,10.4,21.0,1
498,3,3.0,8.3,0.49,1.0134,3.38,0.0,14.4,15.7,8.9,21.9,1
501,5,2.3,17.1,0.73,1.0114,2.97,0.05,10.6,16.7,10.7,23.2,0
502,7,3.3,11.7,0.78,1.0122,2.22,0.52,5.2,16.1,12.3,19.4,0
504,5,2.4,8.1,0.73,1.0238,2.4,0.0,6.3,11.6,7.8,16.7,0
505,2,3.2,9.0,0.69,1.0222,3.22,0.0,12.4,13.9,6.6,20.1,1
506,4,3.6,11.1,0.7,1.0175,3.14,0.0,11.7,15.8,8.9,21.8,1
507,3,3.8,10.9,0.68,1.0162,3.18,0.0,11.9,15.8,10.3,21.2,1
508,0,3.4,9.1,0.6,1.0198,3.5,0.0,14.6,16.3,9.7,22.6,1
510,5,2.5,7.5,0.72,1.0164,2.11,0.01,4.3,17.8,13.8,23.7,0
511,4,1.9,7.6,0.61,1.0196,3.42,0.0,13.7,18.2,11.8,24.5,1
512,5,2.6,11.3,0.55,1.0213,2.73,0.0,8.2,20.2,13.2,25.4,1
513,5,3.6,12.4,0.54,1.0216,2.6,0.0,7.3,21.8,17.8,26.5,1
514,5,4.5,14.5,0.52,1.0189,2.99,0.0,10.1,22.5,17.5,27.5,1
515,3,2.4,9.1,0.5,1.0156,3.44,0.0,13.7,20.7,15.8,26.6,1
517,6,3.8,14.3,0.67,1.0193,1.9,0.0,4.0,12.3,9.7,15.4,0
519,7,4.7,16.1,0.88,1.0156,1.71,0.15,3.0,7.8,5.7,11.4,0
520,7,4.8,13.9,0.66,1.0248,1.89,0.0,3.9,9.4,6.0,13.3,0
521,2,1.8,6.0,0.57,1.0211,3.45,0.38,14.3,13.9,6.5,20.5,0
522,8,3.7,12.3,0.84,1.0154,1.39,0.43,1.6,13.3,11.9,15.6,0
527,6,4.1,17.7,0.89,1.0201,2.07,0.29,4.8,10.3,7.8,13.8,0
528,1,2.0,6.2,0.61,1.0212,3.6,0.0,15.3,13.7,7.2,20.3,1
531,3,2.4,19.8,0.6,1.0125,3.37,0.28,13.5,19.5,12.5,26.4,0
535,7,3.2,10.1,0.85,1.0248,1.43,0.07,1.7,12.0,8.6,16.1,0
536,2,1.3,5.5,0.7,1.0216,3.32,0.0,13.1,13.8,6.7,20.1,1
537,4,3.0,11.0,0.6,1.0137,3.22,0.0,12.3,18.0,10.7,23.8,1
538,3,4.6,15.3,0.6,1.0128,2.99,0.0,10.6,16.5,11.5,20.7,1
541,1,1.7,8.0,0.57,1.0221,3.55,0.0,14.9,19.8,12.1,26.2,1
542,2,2.2,7.9,0.57,1.0188,3.57,0.0,15.1,20.7,12.9,26.9,1
543,5,2.2,12.2,0.57,1.0129,3.1,0.04,11.5,22.2,12.5,30.7,0
544,8,2.7,9.0,0.9,1.0179,1.34,0.35,1.4,18.2,16.8,20.5,0
545,4,1.9,6.2,0.65,1.0217,3.35,0.0,13.4,20.3,15.6,25.8,1
547,5,3.3,11.7,0.68,1.0243,2.56,0.0,7.8,18.0,15.2,22.1,1
548,2,2.4,8.6,0.59,1.0247,3.12,0.0,11.7,18.8,14.7,23.9,1
549,1,3.2,9.6,0.55,1.0194,3.57,0.0,15.2,17.6,12.7,22.6,1
550,1,3.7,10.0,0.57,1.0128,3.54,0.0,15.0,18.5,10.5,25.1,1
551,2,3.1,8.8,0.55,1.0125,3.47,0.0,14.5,20.4,12.1,27.1,1
552,3,3.0,9.6,0.52,1.0084,3.32,0.0,13.3,23.5,14.5,31.2,1
555,4,2.9,10.4,0.71,1.0156,2.76,0.0,9.3,18.2,14.6,23.1,1
556,3,1.8,8.6,0.58,1.0128,3.38,0.02,13.9,21.1,12.9,27.0,0
557,7,3.3,9.2,0.79,1.0154,1.15,0.29,0.8,17.3,14.8,20.5,0
558,5,2.4,10.5,0.57,1.0154,2.78,0.03,9.5,18.8,12.2,24.6,0
559,7,2.3,8.7,0.87,1.0135,1.47,0.25,2.0,17.0,14.8,20.8,0
560,4,2.5,8.8,0.65,1.0089,2.96,0.0,10.9,22.3,15.4,29.5,1
562,8,3.1,9.2,0.9,1.0145,0.75,0.14,0.0,12.7,10.7,15.3,0
563,6,1.7,6.9,0.86,1.0113,1.91,0.04,4.2,14.2,11.8,18.5,0
564,7,2.7,11.1,0.89,1.0088,0.84,0.44,0.1,13.5,11.3,16.9,0
565,6,1.2,4.8,0.83,1.0075,1.3,0.06,1.4,15.2,10.9,18.4,0
566,7,4.1,15.2,0.86,1.0121,1.27,0.12,1.3,14.5,12.7,18.4,0
567,5,3.4,10.1,0.72,1.0207,2.44,0.0,7.5,16.0,12.7,21.3,1
568,1,1.9,7.3,0.62,1.0192,3.41,0.0,14.8,18.7,10.5,24.8,1
569,2,1.9,7.3,0.61,1.0154,3.27,0.0,13.7,20.4,12.5,27.1,1
571,5,1.6,11.4,0.67,1.0158,2.53,0.01,8.3,21.0,15.4,27.2,0
572,1,1.6,7.2,0.64,1.0156,2.99,0.0,11.7,21.9,14.7,28.4,1
573,3,1.6,6.5,0.57,1.0156,3.03,0.0,12.1,22.8,15.7,29.5,1
574,2,1.5,8.6,0.52,1.0171,3.09,0.0,12.6,23.5,14.8,31.1,1
575,5,2.6,8.7,0.59,1.0192,2.1,0.0,5.7,22.8,18.5,29.6,1
576,1,2.3,8.0,0.55,1.0226,3.07,0.0,12.6,22.7,17.4,28.9,1
577,0,1.9,8.3,0.47,1.0208,3.23,0.0,14.0,24.9,16.1,31.8,1
578,2,2.4,8.2,0.52,1.0199,2.93,0.0,11.7,24.3,19.8,29.6,1
579,0,2.8,8.3,0.61,1.0133,3.06,0.0,12.8,24.8,16.8,31.9,1
582,6,3.0,11.5,0.72,1.02,2.19,0.03,6.6,17.5,13.7,22.3,0
583,4,2.5,10.9,0.62,1.0174,2.23,0.0,6.9,18.7,13.4,24.4,1
584,6,3.6,12.8,0.67,1.0136,2.23,0.06,7.0,20.3,17.0,25.7,0
585,7,2.7,9.4,0.78,1.0121,1.53,0.3,2.9,19.2,17.2,21.9,0
587,6,2.6,10.4,0.82,1.0216,1.54,0.35,3.0,15.6,12.1,19.6,0
588,5,1.9,7.9,0.72,1.0265,2.1,0.0,6.4,14.7,10.3,19.6,1
589,2,1.6,6.2,0.66,1.0222,2.97,0.0,13.0,16.9,10.0,23.2,1
591,0,2.5,9.8,0.62,1.0162,3.01,0.0,13.6,22.4,14.1,29.9,1
592,0,1.6,6.2,0.66,1.0161,2.99,0.0,13.5,24.0,15.8,32.1,1
594,5,1.9,10.5,0.92,1.0175,1.41,0.1,2.6,19.7,17.7,24.5,0
595,6,1.5,6.3,0.83,1.0126,2.42,0.0,9.2,20.9,15.7,26.5,1
596,3,2.2,9.3,0.69,1.0114,2.73,0.0,11.8,21.8,17.5,27.0,1
597,7,2.8,11.2,0.87,1.0147,0.71,0.05,0.1,17.9,16.6,18.8,0
598,6,1.2,4.3,0.94,1.0196,0.76,0.16,0.2,16.9,14.6,19.1,0
599,4,2.7,9.7,0.83,1.0211,2.14,0.0,7.5,18.6,13.6,24.0,1
600,2,2.2,9.2,0.82,1.0199,2.56,0.0,10.9,20.0,15.1,25.9,1
601,2,1.7,6.4,0.77,1.0186,2.7,0.0,12.2,20.9,14.5,27.6,1
602,1,1.8,7.8,0.72,1.0184,2.74,0.0,12.7,21.5,14.8,29.1,1
603,1,1.4,6.0,0.65,1.0179,2.74,0.0,12.8,21.7,13.5,30.2,1
605,4,2.2,6.1,0.68,1.0175,2.13,0.0,8.0,17.2,13.9,21.4,1
606,2,2.1,7.7,0.59,1.0143,2.65,0.0,12.5,16.2,10.7,22.3,1
607,7,1.7,5.2,0.74,1.0101,1.92,0.21,6.6,16.2,9.8,21.4,0
609,8,3.4,8.0,0.93,1.0144,0.84,0.07,0.4,13.3,12.0,15.6,0
610,6,2.8,9.7,0.82,1.0173,1.19,0.0,1.9,14.2,12.1,17.7,0
611,1,2.3,6.6,0.65,1.0142,2.55,0.0,12.6,17.3,11.9,22.9,1
614,7,3.2,7.9,0.85,1.0169,1.31,0.15,2.8,12.3,10.2,16.3,0
619,6,4.3,12.0,0.76,1.0174,1.17,0.02,2.3,10.1,8.6,13.2,0
623,7,3.2,9.4,0.84,1.0146,0.89,0.35,1.0,11.2,7.9,14.6,0
626,7,2.1,6.3,0.81,1.0146,1.46,0.0,4.9,9.5,6.6,14.5,0
627,4,2.7,9.7,0.74,1.0138,1.86,0.02,8.6,11.3,3.2,20.0,0
628,7,2.6,9.4,0.74,1.0154,0.78,0.47,0.7,13.4,10.2,17.8,0
629,7,2.7,9.9,0.93,1.0164,0.84,0.31,1.0,11.3,9.7,14.3,0
630,7,1.1,4.4,0.95,1.0149,0.65,0.09,0.3,10.5,8.2,13.1,0
631,8,2.2,7.6,0.98,1.0086,0.5,0.24,0.0,10.2,7.2,12.2,0
632,8,1.9,8.2,0.96,1.0095,0.57,0.05,0.1,12.7,10.5,14.7,0
633,8,1.5,5.5,0.93,1.0172,0.56,0.21,0.1,11.1,8.8,13.8,0
634,6,2.1,7.1,0.92,1.0215,1.0,0.04,2.2,10.7,8.5,14.4,0
635,6,2.2,7.1,0.85,1.0199,1.12,0.0,3.1,12.5,8.0,17.6,0
636,2,2.1,5.5,0.83,1.0183,1.9,0.0,10.8,13.4,9.2,20.3,1
637,5,1.4,5.1,0.86,1.0152,1.57,0.09,7.4,13.9,6.7,21.2,0
638,6,2.3,7.1,0.98,1.0168,0.67,0.22,0.6,14.0,11.0,15.8,0
639,7,2.6,6.8,0.78,1.0163,0.61,0.01,0.4,15.7,11.0,19.9,0
640,2,2.5,7.3,0.59,1.0147,1.77,0.0,10.2,20.8,15.6,27.8,1
642,6,2.7,11.8,0.92,1.0181,0.85,0.09,1.8,13.2,8.1,15.9,0
644,5,2.0,5.3,0.79,1.0137,1.33,0.0,6.1,15.8,10.9,22.5,1
645,7,2.1,8.3,0.96,1.0115,0.64,0.14,0.7,13.9,10.9,17.8,0
646,5,2.2,11.2,0.79,1.0127,1.47,0.0,7.9,15.3,10.3,22.9,1
647,5,1.4,6.0,0.76,1.0179,1.34,0.0,6.7,15.0,11.2,19.6,1
648,2,1.5,5.0,0.84,1.0265,1.52,0.0,8.9,13.9,11.0,19.9,1
650,1,1.3,3.8,0.85,1.0297,1.59,0.0,10.3,13.3,6.6,22.3,1
651,1,1.6,5.4,0.82,1.0262,1.54,0.0,9.9,14.2,7.7,23.2,1
652,2,1.2,4.8,0.83,1.0217,1.48,0.0,9.4,14.8,8.2,23.3,1
653,3,1.3,5.1,0.9,1.0188,1.45,0.0,9.2,14.4,9.4,21.1,1
654,6,2.4,6.6,0.91,1.0258,0.66,0.0,1.3,15.4,12.7,19.2,1
655,4,3.2,8.0,0.88,1.0224,1.24,0.0,6.9,13.7,9.5,18.7,1
656,3,1.9,5.2,0.92,1.0172,1.17,0.0,6.3,12.3,10.0,18.3,1
657,6,2.0,5.9,0.94,1.0171,1.14,0.0,6.1,11.2,8.9,15.5,0
660,4,3.4,12.5,0.84,1.0162,0.84,0.04,3.2,11.9,6.7,17.0,0
662,7,2.9,9.1,0.96,1.0245,0.51,0.64,0.7,11.4,9.8,13.3,0
663,7,2.6,10.5,0.95,1.0265,0.42,0.11,0.3,10.5,9.5,12.1,0
664,1,1.9,5.0,0.86,1.0236,1.26,0.0,9.1,10.9,7.3,16.6,0
665,4,2.6,7.1,0.77,1.0228,1.07,0.0,6.7,12.2,7.2,17.9,0
666,7,2.7,8.6,0.76,1.0249,0.58,0.0,1.4,13.5,10.6,17.1,0
667,6,3.5,10.7,0.79,1.0252,1.01,0.0,6.2,14.2,11.0,18.3,1
668,5,3.8,11.9,0.73,1.0248,1.04,0.0,6.8,15.1,9.7,20.1,1
670,2,2.7,9.7,0.86,1.0355,0.84,0.0,4.4,6.2,3.2,10.0,0
671,4,1.8,5.7,0.86,1.0402,1.01,0.0,6.9,5.6,2.9,10.4,0
673,2,1.5,5.5,0.86,1.0238,1.13,0.0,9.2,6.4,0.7,14.1,0
674,6,1.9,6.2,0.85,1.0232,0.48,0.0,1.1,7.2,4.3,10.0,0
675,8,4.0,16.5,0.85,1.0184,0.41,0.18,0.6,6.9,5.4,9.3,0
678,7,3.3,15.3,0.86,1.0124,0.26,0.02,0.0,1.2,-0.8,2.5,0
679,4,2.8,9.9,0.82,1.0292,0.73,0.0,4.2,-0.1,-2.2,3.3,0
680,0,2.1,5.7,0.85,1.0251,1.01,0.0,8.7,-0.6,-4.8,4.2,0
681,7,2.0,6.1,0.94,1.0162,0.36,0.15,0.5,-0.2,-1.9,1.9,0
683,7,1.6,5.8,0.97,1.0262,0.3,0.0,0.2,-0.7,-2.7,0.5,0
685,6,1.1,3.6,0.96,1.0388,0.72,0.0,4.8,-0.3,-2.9,2.5,0
686,8,1.9,7.0,0.98,1.0347,0.23,0.0,0.0,0.4,-0.6,1.5,0
687,8,1.3,3.7,0.95,1.0251,0.3,0.01,0.3,0.6,-0.6,2.9,0
688,8,1.5,4.7,0.97,1.0241,0.22,0.01,0.0,-0.6,-1.0,-0.1,0
689,6,1.4,4.1,0.96,1.0305,0.5,0.0,2.2,1.4,-1.5,4.4,0
690,4,2.1,6.4,0.86,1.0329,0.73,0.0,5.5,1.9,-1.2,6.1,0
692,6,4.3,14.6,0.97,1.0209,0.39,0.34,1.1,-0.7,-2.0,0.0,0
695,8,3.0,7.1,0.99,1.0137,0.21,0.15,0.0,5.7,4.0,6.9,0
696,8,2.7,11.1,0.98,1.0127,0.2,0.52,0.0,5.8,2.8,7.2,0
697,6,3.7,13.6,0.93,1.0198,0.35,0.55,0.9,2.9,1.1,5.4,0
701,8,1.8,6.7,0.99,1.0264,0.21,0.08,0.0,4.3,1.2,6.5,0
703,8,2.8,11.8,0.97,1.0213,0.2,0.48,0.0,6.8,3.4,8.8,0
704,7,3.2,11.2,0.95,1.0241,0.29,0.22,0.4,6.7,5.4,8.7,0
706,8,2.6,8.7,0.99,1.0367,0.2,0.0,0.0,2.6,1.0,3.7,0
707,4,3.2,9.3,0.91,1.0404,0.65,0.0,5.9,-0.2,-2.9,2.7,0
708,1,3.2,8.0,0.84,1.0414,0.57,0.0,4.4,-3.0,-4.7,-0.1,0
709,1,1.8,7.9,0.85,1.0405,0.71,0.02,7.5,-3.3,-6.2,0.5,0
711,8,2.0,5.5,1.0,1.0274,0.19,0.2,0.0,0.2,-0.6,0.9,0
712,7,4.5,15.7,0.84,1.0298,0.43,0.18,2.2,-6.0,-15.1,0.7,0
713,0,3.7,10.6,0.83,1.0391,0.65,0.0,6.4,-12.9,-15.5,-9.6,0
714,3,2.2,6.3,0.86,1.0353,0.68,0.0,7.0,-9.9,-13.9,-6.2,0
715,4,1.7,6.4,0.91,1.0352,0.64,0.06,6.1,-6.2,-10.0,1.7,0
716,8,2.2,5.5,0.98,1.0348,0.19,0.0,0.0,-3.3,-4.6,-2.2,0
717,8,1.3,4.3,0.93,1.0352,0.19,0.0,0.0,-1.9,-2.7,-0.7,0
718,8,3.0,8.0,0.9,1.0305,0.35,0.0,1.2,-2.3,-3.2,-0.5,0
719,6,4.0,13.3,0.87,1.0253,0.4,0.09,1.9,-2.2,-5.8,0.0,0
723,4,3.3,15.9,0.72,1.0191,0.69,0.06,7.3,-6.6,-13.5,0.4,0
725,7,5.0,12.6,0.97,1.0046,0.26,0.47,0.3,0.1,-3.5,2.1,0
726,4,5.2,13.8,0.76,1.0153,0.65,0.33,6.4,-2.6,-4.4,1.8,0
730,8,4.0,10.7,0.87,1.0255,0.42,0.02,2.0,-3.4,-5.1,-1.2,0
731,5,2.8,8.0,0.8,1.0391,0.32,0.0,0.8,-4.5,-6.6,-1.6,0
732,5,3.2,9.7,0.59,1.0356,0.66,0.0,6.1,-2.4,-5.7,1.0,0
733,2,3.3,8.9,0.81,1.0362,0.72,0.0,7.5,-5.2,-9.4,-2.2,0
734,0,2.1,7.1,0.76,1.0381,0.74,0.0,7.8,-8.6,-11.4,-4.1,0
735,0,1.0,3.4,0.86,1.0407,0.74,0.0,7.7,-7.8,-12.5,-0.5,0
736,1,1.5,5.1,0.86,1.0375,0.73,0.09,7.2,-6.5,-12.0,0.0,0
737,8,2.3,7.1,0.98,1.0331,0.2,0.0,0.0,-2.7,-4.2,-1.1,0
738,8,1.6,4.9,0.99,1.0372,0.21,0.0,0.0,-4.6,-6.0,-3.1,0
740,1,1.1,3.4,0.94,1.0398,0.75,0.0,7.2,-6.9,-10.5,-1.5,0
741,3,0.9,4.2,0.9,1.0376,0.77,0.03,7.5,-5.4,-11.2,2.8,0
742,7,1.3,4.3,0.96,1.0356,0.25,0.06,0.1,-0.9,-4.1,1.8,0
743,8,1.7,6.8,0.98,1.0326,0.22,0.0,0.0,-0.8,-3.1,1.0,0
744,8,2.1,6.8,0.98,1.0309,0.22,0.0,0.0,-3.1,-4.4,-2.0,0
745,4,2.2,6.5,0.94,1.0249,0.66,0.0,4.9,-4.7,-5.8,-1.1,0
746,8,1.8,6.0,0.99,1.0244,0.32,0.0,0.4,-4.5,-6.8,-1.7,0
747,5,1.4,4.1,0.93,1.0266,0.48,0.0,2.0,-0.5,-4.8,3.7,0
748,8,1.7,6.1,0.93,1.0257,0.23,0.0,0.0,-2.0,-5.6,0.6,0
749,7,3.7,11.9,0.73,1.0223,0.42,0.11,1.2,2.6,-0.9,5.9,0
753,5,2.5,7.9,0.72,1.0117,0.67,0.05,4.1,5.6,1.9,8.9,0
755,6,4.4,16.5,0.89,1.0206,0.25,0.36,0.0,5.0,2.6,7.5,0
760,5,2.1,6.9,0.48,1.0244,0.97,0.0,7.9,8.8,2.8,18.3,1
762,4,3.5,13.6,0.69,1.0273,0.91,0.0,6.5,8.7,6.5,12.6,0
763,2,1.8,6.9,0.6,1.03,1.06,0.0,8.9,8.3,2.4,16.9,0
765,6,3.0,9.8,0.53,1.0246,0.89,0.0,5.6,8.7,4.6,13.6,0
766,6,3.0,9.7,0.4,1.0148,0.62,0.0,2.1,10.2,5.0,16.0,0
768,5,2.5,6.4,0.94,1.0218,0.44,0.23,0.5,4.1,2.3,6.0,0
769,7,4.3,16.5,0.91,1.0261,0.36,0.46,0.1,4.8,2.3,7.5,0
770,8,4.8,15.2,0.82,1.0169,0.87,0.67,4.5,9.5,6.1,13.2,0
775,8,5.2,15.0,0.89,1.0196,0.34,0.0,0.0,4.2,0.7,5.3,0
776,2,4.5,11.6,0.72,1.0241,1.24,0.0,8.8,2.1,-1.7,7.5,0
777,3,2.5,8.2,0.63,1.0244,1.12,0.0,6.7,2.9,-0.5,9.4,0
778,2,1.0,3.6,0.83,1.0235,1.13,0.0,6.7,2.7,-2.3,8.7,0
779,6,2.9,10.1,0.76,1.0211,1.17,0.03,7.0,4.4,0.3,9.4,0
782,7,4.6,14.3,0.93,1.0115,0.38,0.09,0.0,0.6,-2.8,4.8,0
783,6,5.3,18.2,0.74,1.0152,0.82,0.13,2.4,1.3,-3.7,6.2,0
785,5,3.8,18.9,0.87,1.0132,0.74,0.27,1.6,0.4,-1.5,1.8,0
789,6,4.6,17.4,0.78,1.0091,1.14,0.1,4.8,5.8,3.7,9.7,0
790,6,2.3,6.4,0.65,1.0119,1.19,0.48,5.1,6.4,2.9,10.5,0
791,8,2.4,7.9,0.98,1.0126,0.43,0.26,0.0,2.7,1.3,5.1,0
792,4,1.8,7.4,0.72,1.0199,1.64,0.0,9.4,2.3,-1.2,6.5,0
793,2,2.2,7.7,0.75,1.0214,1.77,0.0,10.7,3.2,-1.9,8.7,0
795,2,2.6,9.2,0.8,1.0106,1.63,0.0,8.7,6.3,-0.2,11.8,0
797,4,2.7,12.2,0.57,1.0268,1.83,0.0,10.5,7.6,4.1,12.4,0
798,6,2.8,8.6,0.65,1.0164,1.48,0.0,6.7,7.9,0.9,13.1,0
800,2,1.6,6.5,0.49,1.0208,1.95,0.0,11.1,9.6,-0.6,19.5,1
801,5,1.5,5.8,0.49,1.0173,1.83,0.0,9.7,9.9,1.5,19.2,1
802,2,1.7,5.9,0.42,1.0142,1.96,0.0,10.8,12.5,6.9,20.1,1
803,5,2.2,7.0,0.59,1.0091,1.45,0.0,5.7,9.9,3.7,16.3,0
804,4,2.2,7.6,0.74,1.0138,1.9,0.0,9.8,9.0,4.2,15.2,0
805,3,1.8,6.3,0.78,1.0167,1.79,0.0,8.5,9.8,4.5,16.0,0
806,4,1.5,4.2,0.83,1.0146,1.73,0.0,7.8,8.6,3.9,15.3,0
807,3,1.9,6.3,0.56,1.0106,1.99,0.0,10.1,12.6,6.1,18.8,1
812,7,4.0,12.6,0.86,1.0272,0.8,0.27,0.7,1.8,-0.2,4.3,0
813,7,3.6,12.1,0.88,1.0309,1.05,0.08,1.9,1.0,-0.2,4.0,0
814,7,2.6,7.6,0.76,1.0305,0.71,0.0,0.3,0.9,-0.9,3.7,0
815,6,2.4,7.0,0.76,1.0293,1.31,0.0,3.4,0.6,-2.4,3.9,0
